A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-04 06:00,2016,1,4,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 07:00,2016,1,4,7,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 08:00,2016,1,4,8,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 09:00,2016,1,4,9,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 10:00,2016,1,4,10,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 11:00,2016,1,4,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 12:00,2016,1,4,12,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 13:00,2016,1,4,13,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 14:00,2016,1,4,14,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 15:00,2016,1,4,15,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 16:00,2016,1,4,16,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 17:00,2016,1,4,17,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 18:00,2016,1,4,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 19:00,2016,1,4,19,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 20:00,2016,1,4,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 21:00,2016,1,4,21,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 22:00,2016,1,4,22,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 23:00,2016,1,4,23,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 00:00,2016,1,5,0,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 01:00,2016,1,5,1,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 02:00,2016,1,5,2,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 03:00,2016,1,5,3,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 04:00,2016,1,5,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 05:00,2016,1,5,5,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 06:00,2016,1,5,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 07:00,2016,1,5,7,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 08:00,2016,1,5,8,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 09:00,2016,1,5,9,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 10:00,2016,1,5,10,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 11:00,2016,1,5,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 12:00,2016,1,5,12,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 13:00,2016,1,5,13,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 14:00,2016,1,5,14,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 15:00,2016,1,5,15,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 16:00,2016,1,5,16,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 17:00,2016,1,5,17,54,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 18:00,2016,1,5,18,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 19:00,2016,1,5,19,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 20:00,2016,1,5,20,91,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 21:00,2016,1,5,21,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 22:00,2016,1,5,22,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-05 23:00,2016,1,5,23,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 00:00,2016,1,6,0,97,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 01:00,2016,1,6,1,47,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 02:00,2016,1,6,2,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 03:00,2016,1,6,3,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 04:00,2016,1,6,4,42,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 05:00,2016,1,6,5,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 06:00,2016,1,6,6,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 07:00,2016,1,6,7,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 08:00,2016,1,6,8,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 09:00,2016,1,6,9,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 10:00,2016,1,6,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 11:00,2016,1,6,11,16,µg/m³,1 Hr,Valid
